raw,tipo,fecha
cobré $19491 por Sueldo Noviembre,Ingreso,2024-11-01
cobré $1126 por Presentismo,Ingreso,2024-11-01
cobré $1000 por beca,Ingreso,2024-11-01
pagué $260 de disco,Gasto,2024-11-01
pagué $700 de comida trabajo,Gasto,2024-11-01
pagué $200 de disco,Gasto,2024-11-02
pagué $150 de Mc helado,Gasto,2024-11-02
pagué $6500 de Residencia,Gasto,2024-11-04
pagué $370 de disco,Gasto,2024-11-04
deposité $2200 en traspaso a USD,Ahorro,2024-11-04
pagué $860 de perfumes,Gasto,2024-11-04
pagué $420 de disco,Gasto,2024-11-06
pagué $475 de disco,Gasto,2024-11-08
pagué $252 de verduras o frutas,Gasto,2024-11-11
pagué $500 de retiro brou,Gasto,2024-11-11
pagué $257 de disco,Gasto,2024-11-11
pagué $85 de TATA,Gasto,2024-11-11
pagué $325 de recarga antel,Gasto,2024-11-12
pagué $160 de disco,Gasto,2024-11-12
pagué $600 de juntadas,Gasto,2024-11-12
pagué $120 de verduras o frutas,Gasto,2024-11-13
pagué $285 de verduras o frutas,Gasto,2024-11-14
pagué $500 de remedios,Gasto,2024-11-14
pagué $500 de STM,Gasto,2024-11-15
pagué $100 de TATA,Gasto,2024-11-16
pagué $335 de disco,Gasto,2024-11-17
pagué $579 de disco,Gasto,2024-11-18
pagué $300 de TATA,Gasto,2024-11-18
pagué $181 de verduras o frutas,Gasto,2024-11-19
pagué $405 de disco,Gasto,2024-11-19
pagué $350 de disco,Gasto,2024-11-20
pagué $300 de Nacional,Gasto,2024-11-21
pagué $200 de juntadas,Gasto,2024-11-22
pagué $325 de recarga antel,Gasto,2024-11-25
pagué $600 de disco,Gasto,2024-11-30
