,Miercoles,Jueves,Viernes,Sabado,Domingo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,Lunes,Martes,Miercoles,Jueves,Viernes
,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,13/1/2025,14/1/2025,15/1/2025,16/1/2025,17/1/2025,18/1/2025,19/1/2025,20/1/2025,21/1/2025,22/1/2025,23/1/2025,24/1/2025,25/1/2025,26/1/2025,27/1/2025,28/1/2025,29/1/2025,30/1/2025,31/1/2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sueldo 28/12," $  21.341,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saco de los ahorros," $  3.000,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presentismo," $  1.262,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mama," $  1.000,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transferencia Victoria," $  100,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" $  26.703,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residencia,,,,," $  8.500,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
Supermercado,,,,,," $  400,00 ",,,," $  192,00 "," $  360,00 ",,,,," $  404,00 ",,,,,,," $  460,00 ",," $  301,00 ",,," $  234,00 ",," $  266,00 ",
Verduleria,,,,," $  136,00 ",," $  309,00 ",," $  209,00 ",," $  409,00 ",,,,," $  161,00 ",,,," $  387,00 ",,,,," $  343,00 ",," $  536,00 ",,,,
Nacional,,,,,,,,,,,,," $  200,00 ",,,,,,,," $  250,00 ",," $  220,00 ",,,,,,,,
Salidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juntadas,,,,," $  200,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
STM,,,,,,,,," $  500,00 ",,,,,,,,,,,,,,,,,,,," $  540,00 ",,
Smartwatch," $  2.611,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoin," $  1.000,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trabajo comida," $  200,00 ",,,,,,,,,,,," $  288,00 ",,,,,,,,,,,,,,,,,,
Turismar,," $  543,00 ",,,,,,,,,,,,," $  1.072,00 ",,,,," $  1.045,00 ",,,,,,,,,,,
Antel,,," $  325,00 ",,,,,,,,,," $  325,00 ",,,,,,,,,," $  324,00 ",,,,,,,,
Gimnasio,,,,,,,,,,,,,," $  4.450,00 ",,,,,,,,,,,,,,,,,
 Pase a dolares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" $  27.700,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahorro actual del mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-$  997,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahorros anteriores,,,,Ahorro restante,,,,,,,,,,,,,,,,,,,,,,,,,,,
10300,4500 a dolares,3000 fisico,,$1500 en BROU,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Tener en cuenta pague Gimnasio),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahorro Fijo,Adicional fisico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300 USD,140 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
